"STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","COUNTYFP","STATEFP","n_hhs","n_new_zv","n_new_iv","n_new_sv","n_gained_veh","n_lost_veh"
NA,NA,NA,NA,"250250102042002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,0,0,0,1,0
NA,NA,NA,NA,"250250102042003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,0,0,0,1,0
NA,NA,NA,NA,"250250102042005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0,0,0,1,0
NA,NA,NA,NA,"250250102042008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0,0,0,2,0
NA,NA,NA,NA,"250250102042009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,0,0,0,1,0
NA,NA,NA,NA,"250250102043003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,0,0,0,3,0
NA,NA,NA,NA,"250250102043008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,0,0,0,3,0
NA,NA,NA,NA,"250250103001007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,0,0,0,1,0
NA,NA,NA,NA,"250250103002000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,0,0,0,2,0
NA,NA,NA,NA,"250250104032002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,0,0,0,1,0
NA,NA,NA,NA,"250250104033000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,0,0,0,3,0
NA,NA,NA,NA,"250250104041000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,0,0,0,1,0
NA,NA,NA,NA,"250250104042000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,0,0,0,1,0
NA,NA,NA,NA,"250250104052000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,0,0,0,1,0
NA,NA,NA,NA,"250250104052001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,0,0,0,1,0
NA,NA,NA,NA,"250250104052008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,0,0,0,1,0
NA,NA,NA,NA,"250250104053002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,0,0,0,0,1
NA,NA,NA,NA,"250250104081004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,0,0,0,2,0
NA,NA,NA,NA,"250250105002001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,0,0,0,1,0
NA,NA,NA,NA,"250250106001005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,0,0,0,1,0
NA,NA,NA,NA,"250250106001014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,0,0,0,1,0
NA,NA,NA,NA,"250250107011005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0,0,0,1,0
NA,NA,NA,NA,"250250107012000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0,0,0,1,0
NA,NA,NA,NA,"250250107013009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0,0,0,1,0
NA,NA,NA,NA,"250250107021006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,0,0,0,1,0
NA,NA,NA,NA,"250250107021008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0
NA,NA,NA,NA,"250250107021009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,0,0,0,1,0
NA,NA,NA,NA,"250250107022001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,1,0
NA,NA,NA,NA,"250250107023009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,0,0,1,0
NA,NA,NA,NA,"250250108012003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,0,0,0,1,0
NA,NA,NA,NA,"250250108021002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,0,0,0,1,0
NA,NA,NA,NA,"250250108021003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,0,0,0,2,0
NA,NA,NA,NA,"250250108022001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,0,0,0,3,0
NA,NA,NA,NA,"250250108022002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,0,0,0,3,0
NA,NA,NA,NA,"250250108022003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,0,0,0,3,0
NA,NA,NA,NA,"250250108022004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,0,0,0,1,0
NA,NA,NA,NA,"250250108022005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,0,0,0,2,0
NA,NA,NA,NA,"250250201014000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0,0,0,1,0
NA,NA,NA,NA,"250250202002002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,0,0,0,0,1
NA,NA,NA,NA,"250250202002004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,0,0,0,0,1
NA,NA,NA,NA,"250250203032041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,0,0,0,1,0
NA,NA,NA,NA,"250250304002002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0,0,0,1,0
NA,NA,NA,NA,"250250406002001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,0,0,0,1
NA,NA,NA,NA,"250250703001012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,0,0,0,2,0
NA,NA,NA,NA,"250250810011016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,0,0,1,0
NA,NA,NA,NA,"250250810012009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,0,0,0,2,0
NA,NA,NA,NA,"250250810013000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0,0,0,0,1
NA,NA,NA,NA,"250250810013001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0,0,0,0,1
NA,NA,NA,NA,"250250811003000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,0,0,0,1,0
